platform,title_message_lemmatized
android,программа рекламирование предприятие такой билайн др
android,лагаета люто последний обновление один вкладка открываться уведомление просто пропадать хотя открыть просмотреть
android,весь подходить вахта эмигрант
android,сделать возможность оценивать работодатель бальный шкала оставлять комментарий также иметь возможность информировать работодатель преувеличивать сумма заработный плата также отказываться индексировать зарплата соответствие инфляция
android,тишина
android,последний обновление просто идиотизм
android,нужный инф
android,сделать пожалуйста поиск граф вахта вахта
ios,проблема открываться ранний работать
ios,служба поддержка действительно необходимый ресурс иметься огромный минус служба поддержка несколько обращаться помощь результат игнорировать сообщение писать разобраться ситуация меняться
ios,обновление раздел помощь зайти запускаться оно показывать экран hh выбрасывать экран домой
android,ставить город протвино серпухов показывать вакансия город москва
android,отстой один вахта
android,неудобный зайти hh поучиться
android,обновление пропадать резюме отклик вакансия отзыв работодатель
ios,просмотр резюме дублировать вопрос узнать компания просматривать иной мой резюме резюме хотеть знать какой резюме просмотреть
android,здравствовать добавить фильтр гражданин еаэс снг допустить хотеть найти работа россия казахстан помешать фильтр
android,обновление дизайн стать работать стабильно сохраняться дать учётный запись жутко тормозить
android,обновление выкинуть личный кабинет возможность туда зайти пробывать весь
android,очень сырой нужно дорабатывать
android,обновление стать некликабельный просмотр резюме вакнсия избранный обнова прекрасно работать устройство xiaomi redmi
android,разработчик пожалуйста зделать человек мочь оставлять отзыв работодатель
android,мочь опубликовать резюме оставить отзыв работодатель
android,кисло
android,сам норма толк никакой никто отвечать отклик просматривать резюме отправить отклик
android,просмотреть один новое просмотр резюме новое вакансия прочий выделить новый разделовпоправить баг
android,мочь открыть резюмей открыть вакансия
android,сделать работодатель обращать внимание гражданство резюме
ios,тёмный режим здравствовать сделать тёмный режим
ios,фейковыя вакансия фейковыя вакансия работа
android,авный 170 вакансия ряд я один таксопарка разный улица ставить описание немного менять
android,ниоч ваапкий
android,вахта
android,овный вакансия водитель тысяча предложение яндекс такси сидеть листать яндекс такси яндекс таксида гореть аду свой яндекс такси
android,рекламировать который сырой
android,слабый выбор параметр равно список вакансия попадать всякий шлак
android,мало объявление авить фарпост раз сожаление
android,вакансииостальноелибо таксилибо другой город фильтр работать
ios,плохо ужасный поиск выдавать совершенно тот вакансия который интересовать какой специализация ставить выдавать весь один основное вакансия проплатить крупный сеть типо пятёрочка тд отпадать желание пользоваться
android,уважаемый разработчик поправить ошибка посыпаться вход сверху выпадать чёрный шторка надпись произойти ошибка поиск вакансия искать вакансия
ios,просмотр резюме хотеть сказать hh функционал намного прозрачный узнать компания просматривать иной резюме
ios,цбо один тёж вакансия тот работодателейкоторое работать честной путём вовсе платить
android,жутко неудобный привязывать сходу соцсеть
android,вакансия ряд близлежащий город геолокация
android,обновление исчезнуть автоматический вставка подпись отклик вакансия приходиться кааааждый писать заный просить пожалуйста исправить пока два звезда
android,три день пытаться зайти гугл писать какой неполадка
android,перестать скачивать обновлять
android,очень работадатель чс
android,возможно опубликоватьбесплатный резюмеблокировать предлагать разместить платно
android,один професия делать уневерсалом выбрать два професия
android,ограничение иностранный гражданин писать письмо сказать принять мера измениться
android,ужасный советовать половина зоваться время потратить пустовать понятно оно работать служба поддержка дать внятный объяснение
android,сайт балл
ios,открываться вчера обновить открываться
ios,обновление последний обновление запускаться
android,создать резюме поиск подработка почему заблокировать объяснение просмотр мало конкурент вакансия сервис сделать
android,конченый приложениез 5день сцук человек зашёлна резюме создавать
android,вакансия город один продавец консультант 15 штука никакой бессмысленный приложить hh намного вакансия предложение
android,полный говнопреложение
android,набирать 3км искать 150 километр шляпа
ios,тяп ляп продаксить ребята разочаровать ваш работать сохранение поль обязанность опыт работа возможность дать ссылка github раздел портфолио четыре попытка удаться загрузить изображение раздел диплом сертификат аналогично веб версия
android,постоянно вылетать поиск нужно каждый снова забивать фильтр выбор станция метро вылетать поиск фильтр
ios,умеренно удобный интерфейс
android,нужный спам очень плохой релевантный поиск
android,быть обновлять стремной иконка сам самоизолироваться
android,пока найти работа
android,ставить тройка набираеш искать работа свой город выдавать москва вахта интересовать
android,неплохо многие вакансия замаскированный лохотронщик млм секта добавить пожалуйста отзыв рейтинг компания сайт приходиться тратить время поездка собеседование лохотронщик
android,самый тупой весь время блокировать резюме
android,постоянно блокировать резюме вынуждать купить готовый
ios,обновление обновление запускаться исправить пожалуйста
android,отвратительный меню непонятный вакансия разряд таксист курьер создать подписка удалить невозможно вопрос служба поддержка отвечать удалить факт заходить висеть свой место советовать подписка управлять раздел настройка лк половина адрес электронный почта прочий дать такой план общий работа нормальный найти время потерять
ios,программа гораздо удобный программа закончиться основной вакансия предлагать дополнительный похожий вакансия который суть нужный запрос инженер автоматизация основный вакансия предложить похожий именно продавец кассир охранник работник торговый зал тд думать окончание основный вакансия предлагать программа вакансия другой регион понравиться поиск сам программа переодичёска подлагивать
android,последний время расстроиться работа сайт искать нужный вакансия мало просмотр
android,отделной функция отклик вакансия отказ приглашень избранный смешать неудобно
android,почему поиск открывать вакансия весь россия очень удобно постоянно приходиться фильтр выбирать свой город
android,убогий модератор неофициально работать обозначить фирма числиться кома телефон работодатель пообщаться лично принять решение брать работа некого советовать удалять
android,15 год пытаться найти работа результат нулевой оно понятно
android,очень понятно делать подписка выбрать условие
android,сказать заполнение резюме занять целовать вечность проходить модерация резюме такой сложность неужели каждый соискатель гуру составление резюме пройти модерация удалять программа другой лояльный
android,очередной мусорка вакансия курьер 17 вакансия 15 сушивка другой фирма идеотизм упорно хотеть отделять вакансия свободный график перемешок сегодня минск работать отправлять разработчик такой
android,сменить телефон личный кабинет удалить аккаунт вернуться
ios,хватать отзыв работодатель отрицательный момент избежать быть отзыв многие обещать один факт получаться другой время деньга поездка собеседование сэкономить функция
ios,hr удобный сервис ненавязчивый платный услуга актуальный формат однако навигация ipad работа 100+ вакансия оставлять желать хороший постоянно маленький движение норовить сдвинуться закрыть выборка выбор гос муниципальный служба возникать вакансия пятёрочка прочий лабуд допускать робот который предлагать весь ищущий мск работа таксист взгляд весьма профессионально
android,например 14 15 год захотеть подработать фильтр добавить пожалуйста возраст намного удобный рассчитать взрослый подросток забывать
android,один самый удобный очень мало вакансия редко появляться новый информация вестись реклама
android,задумка хороший сплошной недоработка отклик руководство приходить контакт 000 вообщий нормальный функциантровать такой реклама развивать знать
android,делать запрос вокансия радиус 15 километр выдавать 500км
ios,постоянно виснетдорабатывайтепока оценка неуд
android,здравствовать разработчик пока ставить звезда пока отлично тормозить загружать баг большой просьба сделать работодатель обязательно оставлять номер телефон номер телефон объявление выходить отправлять резюме молчать спасибо надеяться услышать
android,здравствовать сделать пожалуйста опция создавать свой собственный шаблон сопроводительный письмо удобно ещё момент искать работа два направление рассматривать сразу город итого резюме плюс английский выбирать какой именно резюме отправить мобильный версия видно указание город очень удобно сайт сделать везде видно благодарить
android,сделать тёмный тема многие смартфон иметь амолёд экран чёрный тема комфортный бела
android,уважаемый товарищ модераторыв задолбать блокировать мой резюмекакий место работый квартира ресница наращивать летваша программа ответ допускаетужасный приложениеработа похоже найти тогдакогда донат отправить
android,мой новый дизайн просто дебильный ранний весь просто интуитивно напихать куча каждый пол сделать нужно вглядываться разбираться привести иной нажатие результат ошибка обновить резюме требоваться другой поднять поиск также привести обновление требоваться общий создавать видимо айтишник маркетолог долгий спор должный
android,согласный нужно программа добавить функция оставить отзыв работодатель право удаление отзыв самый организация который оставить просто 90 написать описание правда приходить устраиваться объявлениют один написать факт описать вакансия
android,работать один ссылка кроме оповещение мочь просмотреть информация смотреть резюме
android,обновление очередной ошибка
android,последний обновление мочь войти никак
android,обновление хантер неудобно свой двойной переход _сначала видеть резюме карточка статистика открывать развернуть версия редактирование нужно ещё разок развернуть _никогда ранее возникать трудность лаг редактирование внесение правка мобильный устройство старый версия _зачем отдельно статистика видно сколь резюме просмотр сколько пришлый отклик удобный быстрый отредактировать необходимый раздел
android,резюме блокировать искать работа директор курьер якобы весь написать удалить фейк постоянно писать интернет мочь выйти свой резюме хотя связь отличный отклик зачастую отправляться писать удаться неуч разрабатывать
android,нужный комментарий работодатель часть соответствовать действительность потратить время действительно ориентировать свой пользователь просить сам говорить встречаться недобросовестный работодатель предотвратить сделать комментарий знать почему берет внимание выгодно бояться распугать клиент правда
ios,103 мбв серьёзно уважаемый разработчикисделаетечтоб вес ваш обновление меньшеу старое устройство память резиноваясти уважение пользователь iphone plus 1704дый сей пора никто прислушаться просьба уменьшение вес
ios,коммерческий сервис 34 год 19 год мой друг найти раб свой мечта сам
ios,писать негативный отзыв работодатель мошенник засорять поиск невозможно хороший найти
ios,отстой сам накручивать отзыв попробовать найти работа мочь пять день заполнить резюме заполнять поль название организация какой период работать должность ключевой навык оно постоянно блокироваться указанный период работа последний место ещё пихать период выпадать меню выбираться советовать никто нерв терять платный услуга создание резюме сделать человек помучиться создавать тратить время создание резюме послать деньга платить быть осторожный
android,класс
android,бестолковый писать свой город отправлять тысяча километр москва
android,нормално
android,работать ошибка нажатие один вакансия открываться совершенно другой единичный случай
ios,отвратительный результат соответствовать ожидание очень плохо
ios,полный выбор свой город дальность расстояние равно выдавать ты вакансия другой город учить география школа помнить новосибирск находиться радиус 30 километр астрахань делать пометка равно вакансия весь страна черта понятно бороться зайти сюда пара кнопка нажать посмотреть вакансия разбираться бесовщина очередной пропиариный который пользователь думать последний очередьспасибо зря отнять время кстати положительный отзыв криповыя видно сразу накручивать
android,работа ру работа ру
android,итеонет плохо работаетний мочь обнавить hh
android,свежий вакансия март смеяться херей
android,закачать разный пока найти менять отзыв увидеть выход висеть запустить процесс потреблять оперативный память исправить
android,кончить
android,обновить мочь зайти свой логин пароль пользователь работать хотя компьютер весь нормальный
android,невозможно войти аккаунт заменить пароль новый пк идиотский капч постоянно вылезать время неправильный дать весь правильно ввести аккаунт год править свой баг
ios,вопрос модератор модератор объяснять нормальный почему блокировать мой регистрация
ios,работодатель мой специальность активный резюме включая мой месяц один звонок
android,умолять сделать вакансия водитель такси отдельный категория реально запарить такси выберать водитель понестись 100 вакансия такси один один вакансия который обратить внимание
android,слишком скудный фильтр удалённый работа почему раздел график работа знать удалённый работать посменно полный день частичный занятость поиск название вакансия учёт компетенция пора отходить название часто подразумевать разный навык
android,фильтр дата работаетодний кадровый агентство
android,выбирать краснодар находить москва нижний новгород волгоград тп ползунок ограничение радиус поиск добавить пункт переезд
android,понравиться
android,урод рукахопый прежде лезть знакомый область задуматься разработчик китаец копирнуль сколько нерв сберечь пользователь работать должный спин весь обплеван лишь отметиться заняться отписка реклама сделать менее агрессивный пока достойный слепить
android,ужасный интерфейс просто ужасный пользоваться понимать вроде стоить город москва предложение вакансия весь россия
android,ваш делать заслужить корректный замечание грозиться банный аккаунт врать нарушение правило угроза ваш сотрудник чат
android,заблокировать доступ мочь зайти страница исправить ваш удалить исправить изменить свой отзыв
android,вакансия мошенический написать один другой удалять просто зря время потратить
android,творити конченый преложение слово возможно регистрироваться видеть такой один
android,тупой програмай роботкодыпипец геморой
android,каждый обновление весь разрешение требовать относиться сервис
android,пожалуйста сделать такчто отклик фильтровать просмотреть просмотреноа вместе неудобно
android,самый дебильный который скачивать каждый обновление сбрасывать вход личный кабинет востановить очень проблемный быть пользоваться советовать
android,вход вкчто шляпа разработать опятьчто соцсеть inмолчать ваш поддержка дняплохо такой отношениеникий посоветовать
android,омерзительный школьник писать
android,тупой модератор блокировать постоянно другой
android,экран смартфон помещаться ещё маленький мой резюме стать удобно поднимать список обновить проваливаться вниз показывать обновить самый прокручивать экран вниз очень жаль неизбежно условие фактически монополизм приходиться мириться такой интерфейс
android,обновить получаться выпускать обновление обновить сам устать
android,почему убрать сопроводительный письмо
android,почему довольный понимать скачать
android,почему некорректно работать фильтр написать фильтр зарплата писать 50000 выдавать 10000 60000 делать фильтр
android,100 вакансия 99 таксист такой впечатление создать яндекстакси поиск водитель зря деньга тратить реклама первое канал поиск работа трата время простить откровенность разраб
android,печальный бесполезноевакансия один таксива фильтр выставить удалённый работа предлогатьва весь равно её показывать общий спискеодний слово муть шлакдлить определилчто нужно быстрый удалять предложение место занимать телефон
android,программа ужасный вводить дальний восток объявление показывать москва
android,меню выбирать показывать гребануй москва остальной тип человек
android,особо большой выбор вакансия сожаление
ios,сайт месяц один просмотр один отклик такой ещё время hhru просмотр около 500 43 приглашение работа
android,возможность связаться работодатель напрямуюкучий всякий резюмеотправьждать неделямипосле устроилсяесть просыпаться работодатель
android,новый иконка понравиласьбыть симпатичный кружока красный квадратдомик бел кругедругий иконка иметь приятный глаз плавный линииа угловатый рисунокно нравиться
android,удобно виснуть плдписк компания новый вакансия открываться
android,невозможно установить
android,ребята иконка дом человек квартира планировать арендовать работа искать видать pm спечься мозги карантин отзыв хотя рейтинг пометка недобросовестный работодатель никакой смысл каждый рука быть ловить сколько знаете наи думать другой человек другой неужели запилить отзыв лайк дизлайк тип рейтинг хотя человек хотя быть друг друг помогать
android,трудно вводить некоторый форма резюме
android,куча реклама мошеник рекомендовать
android,удобный дичь зае резюме пид
ios,птичий язык писать русски пофиксиль багия русский человек чириканье непонятный язык говорить изменение русский слово описать
android,удобно работа зайти мочь пароль вводиться проверочный код мочь дождатьсять итог вызывать самый хороший эмоция
android,регулироваться радиус поиск
android,плохо находить работа ряд жить поработать недурачта человек голова сваим дуратский тупой
android,отстойвводить город место искать москва другой городапреложение ерунда
android,ужасный фильтр работать ставить область оно ты россия показывать ещё популярный отцтой
android,писать запрос место жительство выдыть проктически один масква бред понравиться
android,обман ставиш свой город получаеш обьява остальной москва москва расстояние 450 километр писать 140 обьявычуш удалять
android,отсылать сообщение выдавать ошибка
ios,редактирование сопроводительный письмо хотеть сказать hh функционал намного прозрачный сделать сопроводительный письмо редактировать
android,найти работа нереально уровень mid senior поддержка помогать связываться работодатель принять участие несмотря многократный попытка увеличение шанс помощь платный услуга контроль отклик работодатель отказ немотивированный рассылка агентство давать никакой результат поиск работа продолжаться месяц
android,работать
android,upd смысл порубить функционал нужно заходить мобильный версия настроить видимость резюме отредактировать общий настройка профиль принцип тяжёлый функционал программа самый дело поиск вакансия главный экран часто сбрасываться город указанный мой резюме приходиться вручную выставлять просмотр вакансия компания выбрать область город приходиться листать близлежащий город
android,бессмысленный необходимость регистрация имя фамилия пособие обращаться удалять сразу
android,толк никокогоодин лохотрон
android,разрешение получение статус телефон следить upd раздел страница свой открыть список разрешение ваш посмотреть внимательно
android,странно вакансия некоторый город прям настолько маленький 20 30 месяцть олх объявление ваансия гораздо брать расчёт сетевой маркетинг значит либо стоимость сервис либо документ волокитадо сей пора функция отзыв работодатель хотя кнопка плюс минус отклик посещение собеседование
android,убрать раздел создать возможность отказаться именно каждый отклик вылезать вкладка весь экран похожий вакансия очень мешать хотеть отказаться искать врач терапевт врач выдаваться менеджер продавец поиск
android,дели пункт избранный
android,скрывать резюме свой компания равно видно служба поддеожка помочь
android,последний обновление сломать
android,очень проверить организация интерфейс удобный
ios,новый иконка позор домик нарисовать
ios,последний обновление невозможно зайти выбивать секунда
android,левый объявление
android,вакансия настроить москва вакансия близь +150км либо +998 жить архангельск один вакансия мой город предложить
android,ужасный вакансия остальной предлагать другой регион
android,предлагать работа весь россия соблюдаться фильтр выкансия регион
android,поиск непонятный вылезать вакансия соответствующий критерий поиск требовать обязательный регистрация фильтр поиск работать ставить мой мнение думать иначе
android,развод один проверить работодатель
android,просматривать вакансия кот глючить
ios,сделать оптимизация жутко тормозной потребление аккумулятор жуткий
ios,отзыв вакансия кадровый агенство который сказка рассказывать непонятный интерфейс нажимать краснодар вакансия весь россия показывать психануть выключить
ios,отзыв удалённость 85 километр ряд
android,искать вакансия
android,несколько год установить пока стоящий подобрать
android,подходящий предлагать отклик отвечать
android,очень явный дискриминация специальность
android,сожаление работать вход аккаунт происходить
android,перестать блокировать резюме писать работодатель модер
android,фильтр просто ужасный
ios,мошенник слишком мошенник маркетинг звать разный должность быть водитель управлять приезжать ты говорят торговать бада такой развод должный ещё один нормальный собеседование
ios,тормозить работать некорректно постоянно тормозить загружать ваш исправление фейковыя исправить поставить хороший оценка
ios,сделать пожалуйста свайпить каждый нажимать стрелочка вернуться назад
android,работать фильтр слетать город
android,откровенно недоработать 1постоянно слетать личный информация город граф резюме вакансия город крайне мало какой черта нужно указывать семейный положение наличие ребёнок напрямую нарушать мой конституционный право иметь никакой отношение дело
android,скачивать трата время
android,бред
android,шляпа полный думать скачать один основное агентство
android,крым отсутствовать
android,глюк сплошной поиск организация выплёвывать какой левый вакансия
android,закладка
android,сделать кнопка обновить резюме неудобно обновлять каждый вручную
android,стать худой 70
android,нормальный
android,удалить аккаунт служба поддержка работать просто тупо крутить окошко якобы открываться нечего происходить очень косяк кроме спам найти весь найти ххра весь отправить удаление аккаунт
android,левый работодатель который стоить связываться поиск делать город выдавать 1000 рабочий место который самый дело основное один ручка такси толк простой быстрый найти
android,мочь добавить вакансия избраный нажимать звезда реагировать
ios,работать работаетрезюме заполнить даётс тот пора скачать воспользоваться
android,глючить последний месяц выдавать ошибка каждый поиск пользоваться стать возможно общий просто переустановить глюк пропасть
android,хватить спамить включить уведомление работодатель ваш тупой реклама
android,многие вакансия давно актуальный
android,удобный поиск широкий выбор вакансия искать работа муж иностранец один попытка увенчаться успех
android,модератор заблокировать резюме
android,целое отличный высокий тариф ощущение сотрудник искать связной оператор связь
android,сделать выбирать опыт работа работодатель указывать определённый опыт работыибо указывать опыт заходить объявление описание указывать опыт работа смотреть откликаться тк поставить опытаа требовать опыт работа
android,поставить звезда обновление невозможно дублировать резюме вернуть функция изменить оценка
android,возможно закачать грузить именно
android,программист просто дно какой телефон войти личный кабинет капч работать писать якобы дать верный хотя верный сайт войти дать верный почта копировать письмо самый ххра пароль блокнот написать какой леший дать верный дичь
android,рука оторвать разработчик внешний вид ужасный работать постоянно показывать значок просмотр факт дополнить давать резюме требовать дополнение сам резюме невозможно открыть вход требовать создать новое оказаться предыдущий испариться отвратительный
android,подобрать вакансия открыть поиск тупорылый сайт работать
android,гавнищий полный пользоваться
android,вахта
android,нь памочь
ios,оценка очень раздражать постоянно всплывать окно предложение оценить
android,недолго полный туфта
android,почему россия
android,вахта смотреть вакансия
ios,неудачный обновление ранний программа работать торможение обновление работать сечь вылетать
ios,работать почему постоянно выкидывать успевать один вакансия просмотреть резюме выложить
android,возможно посмотреть описание компания описание вакансиина контакт пригласить собеседование мочь посмотретьприложение просто сворачиваться
android,модерация иметься мошеннический объявление пожаловаться вакансия ответить работодатель договор работодатель нарушить коррумпировать компания советовать
android,постоянно пытаться включить gps
android,сложный интуитивно понятный
android,давно пора сделать кнопка пожаловаться объявление проверять публиковать половина организация публиковать левый вакансия организация который описание написать заниматься строительство жилой объект искать человек продажа молоко испанский стыд проверять работодатель
